number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
801,狂風怒潮。比喻喧騰一時的群眾反對行動。[例]工廠無預警的關閉，引起員工群情激憤，經過協調才平息這波的抗議風潮。,風潮,"A surge of public sentiment or opposition, resembling a strong wind and tide; often refers to collective actions taken by a group in protest.",狂風怒潮的比喻，指一時的群眾反對行動。,在網路上，對環保議題的關注引發了一波新的風潮，讓更多人加入環保行動。 / 社會對於性別平等的討論不斷升溫，已經形成了一股強烈的風潮。 / 這場音樂祭吸引了大量粉絲的參與，產生了獨特的年輕風潮。 / 近年來，健身和養生理念逐漸普及，掀起一股追求健康的風潮。 / 隨著自媒體的興起，許多年輕人開始嘗試創作，形成了一種新的創作風潮。 / 考試制度的改革引發了家長們的強烈關注，形成了一波波的抗議風潮。 / 在社交媒體上，對於美食的熱愛已經成為一種不可忽視的風潮，影響著人們的生活方式。 / 學校推行的國際交流項目，激發了學生們的學習興趣，形成了留學熱潮。 / 最近推出的電子支付方式，使得現金使用逐漸減少，帶動了一股數位金融的風潮。 / 文化傳承的重要性被越來越多人認識到，於是掀起了一股學習傳統技藝的風潮。 / 這部小說的成功使得類似題材的作品受到青睞，形成了一種新的文學風潮。,n,一波風潮 / 這股風潮 / 社會的風潮 / 引發風潮 / 風潮興起 / 風潮退去 / 抗議風潮 / 新興風潮 / 大規模參與風潮 / 在風潮中
801,風向與潮汐。比喻發展的趨勢或流行的趨向。[例]我為了趕搭流行風潮，也去剪個俏麗的短髮。,風潮,A trend or fad that reflects the prevailing direction and popular inclination in society.,風向與潮汐的變化，形容事物發展的趨勢或流行的趨向。,近年來，社會上出現了反歧視的新興風潮。 / 許多年輕人積極參與環保活動，希望能推動綠色風潮的發展。 / 透過社群媒體，新的時尚風潮迅速傳播到世界各地。 / 為了迎合健康風潮，越來越多的餐廳開始提供低卡路里選擇。 / 在音樂領域，融合不同風格的創新風潮，引發了一場音樂 revolution。 / 隨著科技的進步，數位藝術逐漸成為當前藝術風潮中的重要一環。 / 許多人參與冥想班，想要追隨心理健康的風潮，改善壓力管理。 / 隨著人們對國際旅行的需求減少，宅在家中的生活風潮越來越受到重視。 / 年輕一代對傳統文化的重新發掘，掀起了一股文化傳承的風潮。 / 藉著各種展覽，當代藝術正引領著一種新的風潮，吸引了許多藝術愛好者。 / 在時尚界，返璞歸真的極簡風潮受到越來越多人的青睞，改變了購物習慣。,n,新興風潮 / 流行風潮 / 環保風潮 / 健康風潮 / 全球風潮 / 社會風潮 / 購物風潮 / 消費風潮 / 生活風潮 / 文化風潮
802,風采儀態。[例]這位男士風度翩翩，氣宇不凡，成為場中吸睛的焦點。,風度,Graceful demeanor; Refined and elegant in appearance and manner.,氣質和外表的綜合表現，通常指優雅而吸引人的狀態。,在舞會上，他的風度讓所有人都為之動心。 / 儘管一路碰到不愉快的事，她依然保持風度，讓人佩服。 / 他在演講中展現出卓越的風度和自信風采，吸引了眾人的注意。 / 在這次會議中，雖然對方批評不斷，他仍然保持風度，耐心解釋。 / 這位作家的風度和深度思考讓他的作品更加吸引人。 / 她在聚會上的風度翩翩，讓每個人都感受到她的獨特魅力。 / 無論遇到什麼困難，他始終保持冷靜和風度，讓團隊倍感安心。 / 在與客戶的交流中，這位經理展現出專業的風度，贏得了他們的信任。 / 他的風度優雅，言談之中透露出豐富的知識與見識。 / 即使在比賽中落後，他也不忘保持風度，鼓勵隊友一起努力。 / 風度不僅體現在外表，更多的是一種內在的自信與修養。,n,風度翩翩 / 風度優雅 / 風度不凡 / 展現風度 / 具有風度 / 風度十足 / 有風度的人 / 風度的形象 / 風度的魅力 / 風度的提升
802,度量、氣度。[例]雖然輸了這場選舉，他依然很有風度的向對方道賀。,風度,Dignity and grace in demeanor; a measure of one's poise and composure.,指一個人的度量和氣度，通常表現出優雅、大方和從容的風範。,他在比賽失利後，仍然以風度接納現實，讓人更敬佩他。 / 當她收到批評時，依然保持冷靜與風度，顯示了她的成熟。 / 在婚禮上，儘管遇到小意外，他仍然保持風度和優雅，讓賓客都倍感安心。 / 面對生活的挑戰，他選擇以風度和勇氣面對，這讓他的朋友都受到鼓舞。 / 不論對手如何挑釁，他總是以風度回應，顯示了他的自控力。 / 在日常生活中，保持風度不僅體現在外表，還包括內心的平和與善良。 / 儘管工作壓力巨大，他依然以風度處理每一項任務，這讓同事對他充滿敬意。 / 在社交場合中，他總是展現出迷人的風度，讓每個人都感到輕鬆愉快。 / 即使面對不公正的待遇，她也能保持風度，不讓情緒影響自己的形象。 / 在遊戲中，即使對手贏了，他也以風度祝賀對方，展現了運動精神。 / 風度與修養是他個性的一部分，讓他在任何場景中都能自信地展現自我。,n,風度與修養 / 展現風度 / 保持風度 / 優雅的風度 / 美好的風度 / 迷人的風度 / 風度翩翩 / 風度的舉止 / 佩服風度 / 自然地風度
803,泛指事物的格調、特色。[例]他的穿著打扮，一向都有他自己獨特的風格。,風格,A style or characteristic manner of expression or presentation.,泛指事物的格調和特色，通常反映個人或團體的品味與選擇。,這位設計師的作品充滿了獨特的風格，讓人一眼就記住了。 / 他在演講時的語調和肢體語言，都展現了他自信的風格。 / 這部電影的拍攝風格與人性的探索非常相符，讓觀眾感到深刻而引人深思。 / 這位畫家的作品融合了現代與傳統的風格，讓畫作更具魅力。 / 他的寫作風格獨樹一幟，能夠讓讀者感受到強烈的情感共鳴。 / 這家餐廳的室內設計採用了優雅的風格，讓顧客在用餐時感到舒適與放鬆。 / 她的音樂風格融合了多種元素，從古典到流行，都能展現出她獨特的韻味。 / 這本小說的敘事風格非常特別，常常讓人感到意外和驚喜。 / 他的攝影作品展現了一種獨特的風格，使平凡的瞬間變得格外動人。 / 在這場時裝秀中，各位設計師的作品呈現了未來主義的風格，讓人感受到科技與藝術的結合。 / 這首詩的語言使用上有著傳統的風格，詩人巧妙地運用了古典的修辭手法。,n,獨特的風格 / 現代的風格 / 時尚風格 / 傳統風格 / 簡約風格 / 優雅的風格 / 奢華風格 / 古典的風格 / 藝術的風格 / 個人風格
803,風度、品格。[例]他的風格高尚，令人景仰。,風格,"Style, demeanor, or character.",品格與風度的綜合表現。,這位畫家的作品展現了他獨特的風格，讓人過目難忘。 / 在音樂會上，指揮家的風格讓每一首樂曲都有了新的生命。 / 他的寫作風格簡潔明瞭，讓讀者能輕鬆理解。 / 她的穿著風格時尚而不失優雅，吸引了不少目光。 / 當我們參觀這座建築時，可以感受到它融合了古典與現代的風格。 / 他的風格高尚，令人景仰。 / 這部電影的拍攝風格獨樹一格，讓觀眾感受到前所未有的視覺享受。 / 無論是在舞台上還是在生活中，他的演講風格都展現出強烈的自信與魅力。 / 這本書的插畫風格色彩繽紛，為故事增添了許多趣味。 / 他在設計上的風格注重實用與美觀的結合，深受客戶喜愛。 / 這位舞者的表演風格極具感染力，每一次演出都讓觀眾沉浸其中。,n,高尚的風格 / 獨特的風格 / 精緻的風格 / 時尚的風格 / 典雅的風格 / 現代的風格 / 藝術的風格 / 豪華的風格 / 個人的風格 / 迷人的風格
804,光彩、榮耀。[例]他受到校長的當面誇獎，感到十分風光。,風光,"Glorious, decorated, or in a position of honor and prestige.",光彩和榮耀，通常指人或事物在某種場合中受到讚賞或注意。,在比賽中獲得金牌的他，受到了大家的讚賞，感到十分風光。 / 他的父母為他獲得全校最佳學生的獎項感到光榮，笑容燦爛，他也感到無比風光。 / 每當同學們提到她的優秀成績時，她心中都湧現出一種風光的自豪感。 / 這幅畫展現了家鄉的自然風光，吸引了很多遊客前來欣賞。 / 他在公司的升遷典禮上發言，分享自己的職業生涯，感到非常風光。 / 我感到風光，因為今天我獲得了最佳志願者的獎項。 / 在畢業典禮上，大家都為獲得獎學金的同學祝賀，現場氣氛十分風光。 / 他參加國際會議，發表了自己的研究成果，讓他在學術界感到風光無限。 / 每當回憶起那些風光的日子，與朋友們一起的笑聲總是浮現心頭。 / 她在時尚秀上走紅毯，受到媒體的聚焦，當時的她感到無比風光。 / 在村莊的文化節上，傳統表演吸引了眾多觀眾，展現了地方的獨特風光。,vs-adj/N,我感到風光 / 他很風光 / 風光的生活 / 享有風光的名聲 / 人生的風光 / 美好的風光時刻 / 獲得風光的機會 / 笑容燦爛的風光 / 回憶起風光日子 / 朋友的風光祝福
804,風景。[例]墾丁國家公園的自然風光，常令遊客流連忘返。,風光,Scenery; picturesque views.,自然或人造的美麗景色。,這個村莊的清新風光讓我感到心曠神怡，每一個角落都彌漫著自然的氣息。 / 秋天的山林風光，如畫一般，吸引著許多人來這裡拍照留念。 / 歷史悠久的古城，風光與文化交織，讓遊客仿佛置身於時光隧道中。 / 在海邊漫步，陽光照耀下的蔚藍海洋風光，讓人感到無比的寧靜與放鬆。 / 隨著季節的變換，這座城市的風光也展現出不同的面貌，讓人驚喜不已。 / 繁華都市的夜景風光，燈光閃爍，彷彿是一幅動態的油畫，讓人流連忘返。 / 這片田野的春日風光，花香四溢，讓每一位踏足此地的人都感受到大自然的美好。 / 雄偉的山脈風光，層疊的山峰在夕陽下閃耀著金色的光芒，令人心醉神迷。 / 在湖邊靜坐，湖面平靜的風光映照出藍天白雲，帶來一種深深的安詳感。 / 這條幽靜的小徑，兩旁的樹木形成了獨特的風光，讓人感受到隱秘的祥和與恬靜。 / 每當冬雪降臨，這座城鎮的風光變得如夢似幻，白皚皚的世界讓人感到童話般的美麗。,n,迷人的風光 / 壯麗的風光 / 美麗的風光 / 自然風光 / 絕美的風光 / 壯觀的風光 / 獨特的風光 / 海邊的風光 / 雄偉的風光 / 清新風光
805,傳說中的百鳥之王，雄的稱為「鳳」，雌的稱為「凰」，為象徵祥瑞的鳥。[例]我們常用「鳳凰于飛」來祝福新婚夫婦。　△丹鳥、火鳥　◎,鳳凰,"A mythical bird of legend, known as the king of all birds; the male is called ""鳳"" (fèng) and the female ""凰"" (huáng), symbolizing auspiciousness and harmony.",傳說中的百鳥之王，雄的稱為「鳳」，雌的稱為「凰」，是祥瑞的象徵。,在中國文化中，鳳凰象徵著吉祥和繁榮。 / 聽說讓我們來祈求幸福，像鳳凰一樣展翅高飛。 / 婚禮上，親友們用「鳳凰于飛」來祝福新人的幸福生活。 / 鳳凰的傳說中常提到它得到的羽毛是非常珍貴的。 / 鳳凰的舞蹈在傳統藝術中充滿了優雅和力量。 / 鳳凰的色彩絢麗斑斕，讓人一見難忘。 / 古老的神話中，鳳凰被認為是火焰與水的結合體，具有再生的能力。 / 在許多文學作品中，鳳凰象徵著不屈的精神與希望。 / 鳳凰的傳說激勵著人們勇敢面對生活中的挑戰。 / 這幅畫作中融入了鳳凰的形象，讓整體作品更顯華麗。 / 在中國，鳳凰和龍常被一起用來象徵帝王的威儀與尊貴。,n,鳳凰于飛 / 鳳凰的傳說 / 像鳳凰一樣 / 鳳凰的象徵 / 鳳凰之舞 / 鳳凰的羽毛 / 美麗的鳳凰 / 鳳凰與龍 / 鳳凰的神話 / 鳳凰的色彩
806,比喻守舊沉腐的思想意識。如：「封建社會」、「在現代年輕人身上，男尊女卑的封建思維已不多見。」,封建,"1. Feudal; referring to a system or ideology that is outdated, conservative, and corrupt.",指的是一種守舊沉腐的思想意識，通常與傳統階級制度有關。,"在傳統的封建社會中，男性往往擁有更高的地位和權力。 / 現在的人們越來越反對以往封建的婚姻制度，認為每個人都應該有自由選擇伴侶的權利。 / 封建文化中的階級制度，使得很多人難以改變自己的命運。 / 反對封建勢力的運動，促進了社會的進步與民主化。 / 在總統的演說中，提到要擺脫封建的思維，迎接現代化的挑戰。 / 隨著教育的普及，年輕人開始質疑傳統封建習俗的合理性。 / 封建思想讓許多人堅信命運是由出生決定的，而忽視了努力的重要性。 / 科技的發展使得封建的行業結構逐漸被打破，促進了經濟的多元化。 / 封建制度下，女性常常被 relegated to subordinate roles, their voices going unheard. / 透過歷史的學習，我們應該認識到封建體制帶來的種種不平等，進而爭取更多的社會正義。 / 近期的社會運動，強調要破除封建觀念，讓每個人都能平等發聲。",n,封建社會 / 封建思想 / 封建文化 / 封建體制 / 封建習俗 / 封建制度 / 封建勢力 / 反對封建 / 擺脫封建 / 破除封建
