number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
2600,,身為,「身為」指的是某人所擔任的職位或角色，強調這個身份的存在。,To be in the position of or to act as.,身為一位老師，我希望能影響學生的未來。 / 身為朋友，我應該在他需要的時候給予支持和鼓勵。 / 身為父母，我常常為孩子的教育和未來感到擔心。 / 身為一個台灣人的驕傲，我努力向世界介紹我們的文化和歷史。 / 身為學生，我常常感受到考試壓力，但我會努力克服這些挑戰。 / 身為一個獨立的人，我希望能追求自己的夢想，而不受他人的影響。,vs-t,身為一位老師 / 身為父母 / 身為朋友 / 身為子女 / 身為公民 / 身為一個台灣人,
2601,十分相信。[例]深信不疑,深信,十分相信某件事情，不會有任何疑惑。,To firmly believe; to have strong faith in something.,她深信自己選擇的職業道路是正確的，於是全心投入工作。 / 她深信團隊合作能夠創造更好的成果，所以總是鼓勵同事一起努力。 / 他深信愛情可以改變一個人，因此願意全心投入這段關係。 / 她深信自己的夢想終將實現，因此每天都為之奮鬥。 / 我深信每個人都有潛力，只要給予適當的支持和鼓勵。 / 他深信正義最終會勝利，因此始終堅持自己的信念與理想。,vs-t,深信自己 / 深信自己 / 深信他人 / 深信真理 / 深信這一點 / 深信自己的能力,終
2602,身材體形。如：「他們兄弟倆身形相仿，遠遠看，分不出誰是誰。」元．喬吉《兩世姻緣》第二折：「火燎也似身軀熱，錐剜也似額角疼，即漸裡瘦了身形。」,身形,身材體形的樣子。,Body shape or figure; Refers to the physical form or build of a person.,他的身形修長，看起來很有運動細胞。 / 隨著運動的增加，她的身形變得更加健康美麗。 / 這位模特兒的身形非常苗條，穿上晚禮服特別引人注意。 / 他雖然身形高大，但性格卻非常溫和友好。 / 這幅畫中的人物身形優雅，流露出一種古典的美感。 / 這位舞者的身形修長，動作之間充滿了力量和韻律感。,n,身形苗條 / 身形修長 / 身形高大 / 身形矮小 / 身形健美 / 身形瘦弱,"體形, 健美, 瘦弱, 引"
2603,因病痛或哀傷而發出聲音。[例]他因受不了手術後的疼痛，躺在病床上呻吟個不停。,呻吟,因病痛或哀傷而發出聲音。,"To groan or moan, typically due to pain or sorrow.",即使疼痛讓他無法入睡，他仍然試著控制自己的呻吟聲，不想打擾到其他病人。 / 在球場上，受傷的運動員只能躺著，痛苦地呻吟，等待醫生的到來。 / 深夜裡，樓下傳來微弱的呻吟聲，讓她感到非常緊張與擔心。 / 他因為遭遇意外而感到劇烈的疼痛，忍不住在地上呻吟著。 / 當孩子生病時，母親坐在床邊，聽著他痛苦的呻吟，心裡充滿了憂慮。,va-i,痛苦的呻吟 / 悲傷的呻吟 / 無奈的呻吟 / 微弱的呻吟 / 絕望的呻吟 / 令人心痛的呻吟,
2604,比喻危險或苦痛的地方。[例]毒品是罪惡的深淵，千萬不要因好奇而輕易去接觸。,深淵,比喻危險或苦痛的地方，讓人難以逃脫。,A deep abyss; a metaphorical term referring to a place of danger or suffering.,毒品的誘惑讓他一步步墜入無底深淵，難以自拔。 / 他在金融危機中虧損慘重，感覺自己就像掉進了絕望的深淵。 / 自從失去工作以來，她的生活似乎陷入了無盡的深淵，每天都充滿了焦慮。 / 貪婪讓他走上不歸路，最終迷失在深淵，失去朋友與家庭。 / 她在感情的困擾中迷失方向，就像掉進了一個無底的深淵，無法逃出。 / 他試圖幫助那些陷入困境的朋友，但無論怎麼努力，似乎都無法將他們從深淵中拉回。,n,絕望的深淵 / 無底深淵 / 迷失在深淵 / 貪婪的深淵 / 面對深淵 / 深淵的邊緣,"拉回, 苦痛, 墜入, 歸路, 自拔, 掉進"
2605,延伸擴展。[例]秋天來到，一望無際的金黃色稻田，一直伸展到遠遠的天邊。,伸展,延伸並擴展。,To extend or stretch out.,在清晨的公園裡，人們做著伸展運動，以放鬆身心並迎接新的一天。 / 足球場上，選手們的腿部肌肉經過充分的伸展後，表現得更加靈活。 / 在瑜珈課程中，老師引導學生進行各種伸展肢體的體位，幫助他們改善柔軟度與姿勢。 / 長途旅行後，他伸展了一下身子，渴望回到家中能好好休息。 / 她喜歡在午後的陽光下伸展四肢，享受這片刻的寧靜與自在。 / 每當他感到壓力時，會選擇伸展運動來舒緩緊繃的肌肉，恢復心情的平靜。,va-t,伸展運動 / 伸展空間 / 向外伸展 / 伸展視野 / 充分的伸展 / 伸展四肢,"身子, 體位, 午後, 瑜珈"
2606,十分瞭解。漢．揚雄《法言．問道》：「深知器械舟車宮室之為，則禮由己。」《紅樓夢》第四九回：「寶玉深知其情，十分勸慰了一番方罷。」,深知,十分了解某事或某人。,To know or understand profoundly or thoroughly.,他深知戰爭的殘酷，因此致力於用自己的行動傳遞和解與和平共存的信念。 / 她深知友誼的珍貴，總是竭盡所能地支持身邊的朋友。 / 他深知學習語言的艱辛，於是每天都堅持練習，提高自己的口說能力。 / 對於這次比賽的準備，他深知每一個細節都可能影響最終的成績。 / 他深知時間的珍貴，總是合理安排每一天的行程。 / 她深知家庭的重要性，因此無論多忙都會抽出時間陪伴家人。,vs-t,深知責任重大 / 深知困難 / 深知艱辛 / 深知重要性 / 深知風險 / 深知戰爭的殘酷,竭盡
2607,謹慎認真不苟且。[例]經過慎重的考慮之後，他決定放棄這個計畫。,慎重,謹慎而認真，不馬虎。,Cautious and serious; careful and meticulous in decision-making.,他提出的意見雖然有趣，但大家還是需要慎重考慮其可行性。 / 當她收到那份工作邀請時，她按照慣例，慎重評估自己的職業規劃後，才做出回應。 / 這項慈善計畫需要慎重規劃，才能確保資金的有效使用。 / 在做出任何重大決策之前，我們必須慎重考慮所有可能的後果。 / 當遇到爭議性的話題時，我們應該慎重發言，以免引起不必要的誤解。 / 她在制定財務計劃時，慎重考慮了每一項支出，以達到最佳的理財效果。,vs-adj,慎重考慮 / 慎重決定 / 慎重評估 / 慎重行事 / 慎重處理 / 慎重回應,
2608,聲明、宣稱。[例]關於此一弊案，單位主管聲稱毫不知情。,聲稱,宣告某種事實或情況，通常表達自己的立場或看法。,"To claim or assert, often without proof.",他始終聲稱他有分得那筆遺產的權利。 / 警方發現嫌疑人只是一直聲稱在案發當天不在場，卻無法提供不在場證明。 / 在社交媒體上，網路網紅聲稱自己發現了新的賺錢秘訣，引起了不少人的關注。 / 專家聲稱這種新藥物有潛力治療一些罕見疾病，但仍需要進一步的臨床試驗。 / 最近有媒體報導，某明星聲稱將會退出演藝圈，讓粉絲感到震驚。 / 這個新興的科技公司聲稱他們的技術將徹底改變交通運輸的方式。,va-t,聲稱無辜 / 聲稱無罪 / 聲稱將會 / 聲稱能夠 / 始終聲稱 / 一直聲稱,"無罪, 案發, 警, 演藝圈"
2609,泛指人工豢養的馬、牛、羊、豬等動物。[例]馬、羊等牲畜，是游牧民族最重要的財產。,牲畜,指人工飼養的馬、牛、羊、豬等動物。,"Domesticated livestock, referring to animals such as horses, cattle, sheep, and pigs that are raised by humans.",養殖牲畜需要專業的管理，以確保它們的健康和生產力。 / 每年春天，農民都會檢查牲畜的健康狀況，防止疾病的傳播。 / 牲畜的飼養需要細心和耐心，只有這樣才能維持良好的飼養環境。 / 牲畜的健康檢查是每個養殖戶的責任，以確保食品安全和消費者的信任。 / 在某些文化中，牲畜被視為財富的象徵，對社會地位有著重要的影響。 / 提高牲畜的飼養效率，能夠有效降低生產成本，提升農業經濟效益。,n,一種牲畜 / 牲畜的飼料 / 牲畜的管理 / 牲畜的健康 / 牲畜的飼養 / 照顧牲畜,"養殖, 飼料, 養殖戶, 農"
