number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
392,處理、措置。[例]這件事經他適當的處置後，終於化險為夷了。,處置,To handle or dispose of something in an appropriate manner.,處理和措置某個問題或情況，使其達到妥善的結果。,他對於突發事件的處置非常迅速，讓大家感到安心。 / 在會議上，經理詳細討論了如何妥善處置客戶的投訴問題。 / 醫生在緊急情況下能夠冷靜處置，避免了病人的病情加重。 / 公司制訂了一套標準程序，以便快速處置任何潛在的安全問題。 / 這位專家提出了合理的處置方案，讓問題得以有效改善。 / 醫院的團隊在事故發生後，迅速處置傷患，挽救了不少生命。 / 針對環境污染的問題，政府加強了對於處置措施的監督和管理。 / 在自然災害發生後，志願者們積極參與處置工作，幫助受災民眾。 / 學校對於學生的糾紛進行了妥善處置，以維護校園的和諧氛圍。 / 在事故現場，專業人員的迅速處置防止了情況的進一步惡化。 / 我們需要制定更有效的政策來處置社會矛盾，以促進社會穩定。,va-t/N,妥善處置 / 及時處置 / 有效處置 / 適當處置 / 迅速處置 / 科學的處置 / 合理的處置 / 突發事件的處置 / 依法處置 / 在現場處置
392,處罰、懲治。[例]等到塵埃落定後，再來處置他也不遲。,處置,To punish or impose consequences.,對某人或某事進行懲罰或處理。,有時候，面對突發事件，必須迅速決定如何處置才行。 / 在會議上，大家提出了不同的意見，最終決定由經理來處置這個爭議問題。 / 如果不妥善處置紛爭，可能會影響團隊的合作氛圍。 / 各部門必須共同合作，制定出合理的處置方案，以應對這次危機。 / 他認為，對於這類問題的處置，應該遵循正當程序，才能確保公平公正。 / 對於發生的安全事故，必須立即處置，才能避免更嚴重的後果。 / 處置公共資源時，應該考量到每個人的利益，才能達到最佳效果。 / 在學校裡，對於學生的違規行為，老師們需要妥善處置，以促進學生的良好行為。 / 如果發現員工的行為不當，管理層應該及時處置，以維護公司的形象和秩序。 / 每當遇到複雜的問題時，專家們的處置建議往往能給予我們寶貴的指導。 / 針對這次環境污染事件，政府已經開始評估處置措施，以恢復正常的生活秩序。,va-t,處置不當 / 處置措施 / 妥善處置 / 合理處置 / 立即處置 / 處置程序 / 處置方案 / 處置權限 / 各種處置 / 適當處置
393,水準、程度等超越眾人。[例]他才學出眾，著作等身是當代極具聲望的學者。,出眾,"Outstanding; surpassing others in quality, skill, or achievement.",水準、程度等超越一般人。,他的出眾表現讓所有評委都印象深刻，獲得滿分。 / 這位藝術家的作品出眾，經常在國際展覽中受邀展出。 / 即使在競爭激烈的環境中，她的才能依然不停地被大家讚賞、肯定和仰慕。 / 在學校的音樂比賽中，彼得的出眾演出贏得了冠軍，讓所有觀眾驚豔不已。 / 雖然他年紀輕，但他的出眾智慧和成熟表現，讓人刮目相看。 / 這名運動員的出眾成就不僅創造了比賽紀錄，並且激勵了許多年輕選手追尋夢想。 / 她的出眾品味讓她在時尚界嶄露頭角，成為眾多品牌爭相合作的對象。 / 在這次科學展覽中，他的研究成果出眾，吸引了許多專家的目光和關注。 / 會議中，她的出眾見解讓團隊重新思考了整個計劃，達成了更好的結果。 / 這部電影的出眾劇本與演技，使它在影展上獲得了最佳影片的獎項。 / 他的出眾領導力讓團隊士氣大增，大家願意為共同目標全力以赴。,vs-i,出眾的人才 / 出眾的能力 / 出眾的才華 / 出眾的表現 / 出眾的成就 / 出眾的智力 / 出眾的品味 / 出眾的貢獻 / 出眾的技術 / 出眾的領導力
394,傳接繼承。[例]歷史的傳承須靠世代子孫的努力。,傳承,"To pass on or inherit, indicating the transmission of knowledge, culture, or traditions from one generation to another.",傳接並繼承前人的文化、知識或技能，通常透過世代相傳。,故宮的藝術品展現了中華文化的傳承和歷史。 / 他們成立社團，就是希望能夠傳承傳統工藝，讓更多人了解。 / 每年舉辦的民俗藝術節，都成為了傳承地方文化的重要平台。 / 在學校裡，老師們會教學生傳承古詩詞的美，讓詩詞不會隨時間消失。 / 家族的傳統料理，讓她在每次聚會中都能感受到親情的傳承。 / 這部電影的故事情節，展現了戰爭時代人們不屈不撓的傳承精神。 / 園藝愛好者們每年都會舉辦交流會，傳承珍稀植物的栽培技巧，以保護生態。 / 透過義演和慈善拍賣，音樂家希望能夠傳承和發揚古典音樂的獨特魅力。 / 在社區裡，志工們積極參與，希望能夠傳承和更新歷史悠久的傳統節慶。 / 他們的書籍不僅記載了歷史，還傳承著先賢的智慧與理念，激勵後人。 / 為了不讓傳統技藝消失，學校開始設立專門課程來教授和傳承這些珍貴的技能。,va-t/N,傳承文化 / 傳承歷史 / 傳承精神 / 傳承知識 / 傳承技藝 / 傳承傳統 / 代代傳承 / 重要的傳承 / 注重傳承 / 父母的傳承
395,物理學上指兩物體接觸時，溫度或電流由一物體傳至另一物體的現象。[例]熱傳導,傳導,"The transfer or conduction of heat, electricity, or other forms of energy through direct contact between two objects.",物理學上，指兩個物體接觸時，溫度或電流由一個物體傳到另一個物體的現象。,在寒冷的天氣裡，用金屬製的鍋具煮食可以快速傳導熱量，讓食物更快熟。 / 職業安全課程教導工人如何避免因長時間接觸高溫物體而發生意外燒傷，因為金屬在高溫下的熱傳導速度非常快。 / 為了提高能量的使用效率，科學家一直在研究如何降低熱傳導過程中的損失。 / 在家庭裡，選擇合適的保溫材料可以有效減少熱量的傳導，從而節省能源。 / 物理學中，傳導的效率與材料的性質有關，例如銅的熱傳導率遠高於其他金屬。 / 電線的絕緣層可以防止電流的意外傳導，保障使用時的安全。 / 在建築設計中，良好的隔熱性能可以減少外部熱量的傳導，提升室內舒適度。  / 日常生活中，熱水瓶利用真空層來減少熱量的傳導，保持水的溫度更長時間。  / 在實驗室裡，科學家測量不同材料的熱傳導率，以便選擇最適合的材料進行研究。  / 車輛的散熱系統需要有效地傳導熱量，以防止引擎過熱，確保行駛安全。  / 研究顯示，空氣的熱傳導效率較低，因此在冬季使用風扇可以幫助更快地均勻加熱空間。,n,熱傳導 / 電傳導 / 傳導現象 / 傳導過程 / 有效傳導 / 傳導率 / 傳導介質 / 傳導熱量 / 傳導能量 / 傳導效果
395,生物學上指神經纖維將外界刺激傳至大腦、脊髓，或把大腦、脊髓的衝動傳至外圍神經的過程。[例]人體內的神經系統專司傳導，可以協調身體各部活動而維持體內環境的恆定。,傳導,"A biological process in which nerve fibers transmit external stimuli to the brain and spinal cord, or convey impulses from the brain and spinal cord to peripheral nerves.",生物學上指神經纖維將外界刺激傳到大腦和脊髓，或將大腦和脊髓的衝動傳到外圍神經的過程。,如果神經傳導的速度過慢，可能會影響身體的反應速度。 / 透過電療，患者的神經傳導功能得到了改善，疼痛感也隨之減輕。 / 耳朵裡的聽覺神經負責將聲音的訊號傳導到大腦。 / 學習如何促進神經的有效傳導，有助於提升運動表現。 / 近年來，科學家們發現某些物質可以加快神經傳導的速度。 / 在人體內，傳導過程中神經元之間的突觸扮演著重要的角色。 / 如果一個人神經傳導出現問題，可能會導致感覺異常或麻木的情況。 / 研究顯示，規律運動能夠促進神經傳導的健康，減少老化的影響。 / 藉由特殊訓練，運動員能夠提高肌肉的神經傳導效能，增強力量。 / 在神經系統中，傳導的效率對於維持平衡和協調動作至關重要。 / 一些疾病會影響神經的傳導，如多發性硬化症，使患者面臨巨大挑戰。,n,神經的傳導 / 信號的傳導 / 反射動作的傳導 / 感覺的傳導 / 脊髓的傳導 / 外界刺激的傳導 / 高效傳導 / 低下傳導 / 交感神經的傳導 / 穩定的傳導
396,傳達、遞送。[例]傳遞訊息、傳遞紙條,傳遞,To convey or deliver; to pass on information or messages.,傳達和遞送某些資訊或物品。,在團隊會議上，我們需要傳遞重要的專案資訊，以確保每個人都在同一頁上。 / 社交媒體讓我們可以快速傳遞消息，隨時隨地都能分享最新動態。 / 在學校裡，老師常常利用互動遊戲來傳遞課堂知識，提升學生的學習興趣。 / 在朋友之間，傳遞祝福的方式可以是簡單的一個電話或是一條訊息。 / 家長透過閱讀故事來傳遞道德觀念，幫助孩子建立正確的價值觀。 / 音樂不僅是娛樂，還能傳遞情感，讓聽者感受到創作者的心聲。 / 在志願者活動中，傳遞愛心和關懷給需要幫助的人，是我們最重要的使命。 / 當我們參加研討會時，專家會向我們傳遞最新的研究成果，以拓展我們的視野。 / 在文化交流中，藝術作品往往能夠有效地傳遞不同國家之間的情感與故事。 / 學生們透過小組討論來傳遞各自的觀點，從而促進更深入的學習與理解。 / 無論是面對面的交流，還是線上的互動，傳遞真誠的關心永遠是建立良好人際關係的關鍵。,va-t,傳遞訊息 / 傳遞信息 / 傳遞文件 / 傳遞消息 / 傳遞觀念 / 傳遞情感 / 傳遞知識 / 傳遞祝福 / 有效傳遞 / 快速傳遞
397,將知識、技能教給他人。[例]好老師總是不惜將他所知道的一切傳授給學生們。,傳授,To impart or teach knowledge or skills to others.,將知識和技能教給他人。,許多老師都希望能將自己的知識傳授給學生，啟發他們的學習熱情。 / 父母在日常生活中，也會向孩子傳授生活的技能，讓他們變得更獨立。 / 在這個工作坊上，專家們傳授了許多實用的職場技巧，幫助年輕人提升競爭力。 / 傳統藝術的教師不僅傳授技藝，還分享藝術背後的文化故事，讓學生更深刻地理解。 / 老師常利用課堂時間傳授學科知識，並鼓勵學生提出問題以促進深入討論。 / 在社區活動中，許多退休人士願意傳授他們的專業經驗，幫助年輕人更好地融入職場。 / 每年，學校都會舉辦講座，邀請業界專家傳授最新的行業趨勢，讓學生掌握前沿知識。 / 為了增強學生的實踐能力，大學教授在課堂上傳授實驗技巧，並帶領學生進行實際操作。 / 志願者在培訓營中，耐心地傳授急救知識，提升參與者的安全意識和應對能力。 / 在科技迅速發展的今天，許多青少年參加編程課程，以學習資深工程師傳授的技術。 / 學術界的前輩們常常舉辦研究分享會，傳授他們的研究方法和思考方式，促進學術交流。,va-t,知識 / 經驗 / 技能 / 智慧 / 道理 / 文化 / 方法 / 技巧 / 秘訣 / 學問
398,穿通貫透。[例]子彈穿透鋼板，它的威力之大，就可想而知了。,穿透,To penetrate or pass through.,穿通貫透的意思是能夠從一個物體進入並穿過另一個物體。,陽光透過樹葉的縫隙，穿透了整個森林。 / 在音樂會上，小提琴的旋律如同一束光，穿透每一個聽眾的心靈。 / 科學家透過實驗，成功地穿透了物質的微觀結構，揭示了其運行的秘密。 / 他的眼神充滿力量，彷彿能夠穿透我的內心，讓我無法隱藏任何情感。 / 書中的哲理深刻，如同一把利刃，穿透了我對世界的認知。 / 她的話語直白且有力，穿透了我的懷疑，讓我重新思考我的選擇。 / 在寒冷的冬日，暖風穿透了厚厚的窗簾，讓房間瞬間充滿了溫暖。 / 這部電影的情節緊湊，情感真摯，讓人感受到一股強烈的力量，穿透了心底的孤獨感。 / 他的畫作色彩鮮明，構圖獨特，似乎能夠穿透觀者的視線，直抵心靈深處。 / 在這場辯論中，她的觀點清晰且有說服力，成功穿透了對方的論點，贏得了全場的掌聲。 / 科技的發展不斷推進，讓我們能夠穿透宇宙的奧秘，探索更遙遠的星系。,vp-t,穿透真相 / 穿透障礙 / 穿透空氣 / 穿透心靈 / 穿透意識 / 穿透思想 / 穿透靈魂 / 穿透力道 / 深入穿透分析 / 突破穿透能力
399,輾轉流傳的消息。[例]這一切都是傳聞，在未經證實前，不足以採信。,傳聞,A rumor; information that has been circulated through various channels without confirmation.,輾轉流傳的消息。,這個城市有許多關於旅行計畫的傳聞，引起了大家的好奇。 / 傳聞說新開的餐廳非常好吃，因此我們決定去試試看。 / 有傳聞稱這部電影的續集將在明年上映，影迷們都非常期待。 / 傳聞的不實內容常常會造成社會上不必要的緊張情緒。 / 最近有關於這位明星的婚姻狀況的傳聞引發了媒體的關注。 / 根據傳聞，這次的音樂會將邀請到許多知名的藝人。 / 傳聞在社交媒體上迅速流傳，讓許多人開始討論這個話題。 / 傳聞說這家公司將在不久的將來推出一款革命性的產品。 / 有傳聞指出這位作家的新書即將發布，引起了讀者的期待。 / 傳聞的出現讓人們對即將舉行的比賽更加感興趣。 / 最近有關於這座古老城堡的神秘傳聞，吸引了不少遊客前來探索。,n,傳聞來源 / 傳聞不實 / 傳聞流傳 / 根據傳聞 / 傳聞引起關注 / 有傳聞稱 / 傳聞的內容 / 傳聞是否 / 傳聞的影響 / 傳聞造成困擾
