number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
105,適當的時機。[例]順便、搭便車、因利乘便,便,A convenient or timely opportunity; often used in phrases to indicate taking advantage of a situation.,適當的時機或便利的情況。,如果你有空，便可以順便幫我買些水果。 / 我在路上遇到老朋友，便順便聊了一會兒天。 / 下班後，我便打算順便去健身房運動。 / 她有時會在會議上順便提起最新的項目進展。 / 他想學習法語，便打算報名參加課程，順便結識新朋友。,adv,順便幫忙 / 順便提起 / 搭便車 / 不妨順便 / 借便之機
105,肚子很大的樣子。[例]瞧她大腹便便，恐怕即將臨盆了。,便,"Pregnant; having a large belly, typically referring to a state of advanced pregnancy.",肚子很大的樣子。,這位孕婦的肚子大得便便，看起來即將臨盆。 / 她的肚子便便，朋友們都說她的寶寶快要出生了。 / 在公園裡，看到一位大腹便便的媽媽，大家都忍不住微笑。 / 昨天我在街上看到一個便便的孕婦，讓我想起了我的母親。 / 誰都能看出她的肚子便便，朋友們紛紛詢問她的懷孕情況。,vs-adj,大腹便便 / 她的肚子便便 / 孩子們便便的樣子 / 看起來便便 / 顯得便便
105,不應該得到或額外的利益。[例]為人處世應盡責守分，不要想占人便宜。,便,Unjust or undue advantage or benefit.,不應該得到或額外的利益。,為了方便，我們選擇在家裡開會，這樣大家都可以節省時間。 / 他每天提早到公司，這樣便能準時開始工作，不會遲到。 / 為了讓活動更順利，我們提前準備了一切，這樣便能節省現場的忙碌時間。 / 到超市買東西時，選擇打折的商品，這樣便可以省下不少錢。 / 如果能夠合理安排時間，便能更有效率地完成各項任務。,vs-t,占人便宜 / 佔便宜 / 便宜的商品 / 便宜的價格 / 不要佔人便宜
106,判別、分別。[例]辨別是非,辨別,To distinguish or identify differences.,判別和分別事物的真偽、是非或不同之處。,我們應該學習如何辨別是非，以做出明智的決定。 / 在這個社交媒體盛行的時代，辨別資訊的真實性變得更加重要。 / 在這個快速變化的世界中，辨別真假資訊的能力十分重要。 / 辨別顏色的細微差異對藝術家來說至關重要。 / 辨別歷史事件的真相是研究歷史的一個重要環節。,va-t,辨別真假 / 辨別是非 / 辨別對錯 / 難以辨別 / 正確辨別
107,分布各處。[例]山谷裡遍布著各種奇形怪狀的石頭。,遍布/遍佈,To be distributed or spread all over; existing everywhere.,分布在各個地方，呈現出廣泛的狀態。,這個節日的慶祝活動遍佈整個城市，吸引了許多人參加。 / 在這片森林裡，野花遍佈，春天的氣息格外濃厚。 / 隨著科技的發展，無線網路已經遍布各地，讓大家隨時隨地都能上網。 / 這篇文章的影響力遍佈學術界，引起了廣泛的關注和討論。 / 在這個社區裡，志願服務活動遍佈每個角落，讓人感受到濃厚的團結氛圍。,vp-i,遍布各地 / 遍布全国 / 遍布森林 / 遍布城市 / 遍布每個角落
108,改變更動，常指社會、政治制度上的變動而言。[例]近年來共產國家發生重大的變革，影響了整個世界的局勢。,變革,"To reform or change significantly, often referring to alterations in social or political systems.",指的是對某種事物進行根本的改變，通常涉及社會或政治制度的變動。,教育體系經歷了一場重大變革，從傳統的填鴨式教學，轉變為更加注重學生主動學習的方式。 / 一場變革對於一個國家的未來至關重要，尤其是在全球化的影響下，如何調整政策成為各國領導人的首要挑戰。 / 在疫情過後，許多企業意識到遠程工作的效率，開始進行組織結構的變革，以適應新的工作模式。 / 政府推動的稅制變革，引起了廣泛的討論，尤其是對中小企業的影響，大家都在關心未來的經營壓力。 / 隨著社會老齡化問題的加劇，健康照護系統必須進行變革，以滿足日益增長的老人照護需求。,n,一場變革 / 社會變革 / 重要變革 / 發生變革 / 引起變革
109,更改。[例]既然已經作成決議，就不要再變更了。,變更,To change or modify something.,更改原有的內容或狀態。,這份報告的內容因為收集到新的資料需要變更。/ 會議的時間如果需要變更，請提前通知參與者。/ 由於市場的變化，我們必須變更原定的行銷策略。/ 在申請簽證的過程中，地址的變更要隨時更新，以免影響審核。/ 客戶要求變更合約的條款，以符合最新的業務需求。/ 公司政策有時候會因為情況的不同而變更，員工需隨時注意新規定。/ 如果有必要，請變更申請的文件，以加速審核流程。/ 計畫中的項目如需變更，必須得到項目負責人的批准。/ 當收到變更通知後，務必仔細閱讀並確認相關內容。/ 這個設計方案需要根據客戶的需求進行變更，以達到更好的效果。 / 我們的服務條款將於下月開始變更，請所有用戶提前了解新規定。,vp-t/N,變更時間 / 變更地址 / 變更合約 / 變更職務 / 變更做法
110,編定的序號。[例]大專聯考為求公平，試卷上不寫考生姓名，而以編號識別。,編號,A sequence number assigned for identification purposes.,編定的序號，用來識別或區分個體。,每個產品都會貼上編號，以便於管理和追蹤。 / 學校的圖書館將每本書籍編上編號，以避免借閱時的混亂。 / 這份報告的每一項數據都必須附上編號，讓讀者能夠輕鬆參考。 / 研究人員在實驗樣本上標註編號，以方便在數據分析時進行資料整理。 / 在網上購物時，訂單會自動生成編號，供顧客查詢和跟踪包裹。,n,一份編號 / 自動編號 / 按照編號 / 附上編號 / 數字編號
110,排列序號。[例]這些試卷編號之後便加上彌封，以待送入考場。,編號,"To assign or list in order, usually in the form of a serial number.",排列的序號，用於區分不同的物品或事件。,辦公室的文件如果沒有編號，就很難找到需要的資料，影響工作效率。 / 在這個網上課程中，學生的作業需要按照編號提交，以便於老師評分。 / 當客戶訂購商品時，系統會自動生成一個編號，以便跟蹤訂單狀態。 / 編號系統的完善可以有效降低資料遺失的風險，讓管理更加高效。 / 這份報告中的數據必須依照編號進行整理，以確保分析結果的準確性。,n,編號系統 / 編號列表 / 編號標籤 / 按照編號 / 編號順序
111,提出理由、事實來加以袒護。[例]為了怕他被罵，我費心的替他辯護。,辯護,To defend or argue in favor of someone or something by presenting reasons or facts.,提出理由和事實，為某人或某事加以支持和保護。,在法庭上，他的辯護律師提出了多項證據，旨在幫助他獲得無罪的判決。 / 儘管面臨外界的批評，這位領導仍積極辯護自己的政策，認為這對國家未來有益。 / 在社交媒體上，她發表了一篇文章，辯護自己在這件事情上的立場，強調她的動機是良好的。 / 當學校對她的成績提出質疑時，她的父母立即出面辯護，證明她的努力和付出。 / 這名記者在專訪中辯護自己的報導，強調事實的重要性與真相的追求。,va-t,合理的辯護 / 辯護律師 / 辯護理由 / 積極辯護 / 認真辯護
