word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
立功,5900,建立功績。[例]殺敵立功、戴罪立功,"To achieve merit or accomplishments, usually in the context of serving a duty or task.",建立功績，通常指在某些行動中表現出色，獲得他人認可。,經過長時間的訓練，這位年輕士兵終於在戰鬥中立功，贏得了大家的尊敬。 / 領導層鼓勵士兵在任務中勇於表現，以期立功報國，讓國家感到驕傲。 / 他在救災行動中展現了非凡的勇氣和智慧，成功立功，受到了政府的表揚。 / 雖然這次任務非常危險，但她依然堅持完成，最終成功立功，獲得了勳章。 / 在今年的國際比賽中，運動員們的出色表現不僅為自己立功，也讓全國人民感到欣慰。 / 這位警察在追捕罪犯的過程中，果斷出手，成功立功，贏得了市民的讚譽。 / 他透過科技創新，幫助公司提升效率，成功立功，獲得了升遷機會。 / 在抗擊疫情的前線，醫護人員日以繼夜地工作，成功立功，展現了無私奉獻的精神。 / 雖然面對重重困難，他始終不放棄，最終在項目中立功，為團隊帶來了榮譽。 / 這位消防員在滅火行動中，英勇無畏，成功立功，獲得了社區的感謝與敬佩。 / 這位科學家在研究中取得重大突破，成功立功，為人類的健康做出了貢獻。,va-t,立功報國 / 為國立功 / 立功的機會 / 立功的方式 / 立功成就 / 立功表現 / 立功榜樣 / 出色地立功 / 立功的重要性 / 立功的動機,,,
利己,5901,謀求自己的利益幸福。[例]利人利己、損人不利己,Self-serving; seeking one's own benefit and welfare.,謀求自己的利益和幸福。,在商業競爭中，有些公司以利己為目標，徹底忽視了環保的責任。 / 即使在一時的利益誘惑下，我們也不該選擇損人不利己的路徑。 / 他總是強調團隊合作，而不是單純追求利己的目標。 / 在社會中，利他行為往往能帶來更持久的幸福感，而不只是短暫的利己得失。 / 如果每個人都能從中思考利己與利他的平衡，社會將變得更加和諧。 / 即使利益分配不均，利己的選擇也不應該以犧牲他人幸福為代價。 / 利己主義在某些情況下可能促進效率，但長期來看卻可能損害人際關係。 / 他提倡的公益活動，正是希望能在利己與利他之間找到一個更好的平衡點。 / 在道德決策中，利己考量常常與良知發生衝突，讓人倍感掙扎。 / 我們應該學會在工作中融入利己的動機，卻不忘掉對團隊的責任。 / 在學校裡，鼓勵學生不要僅僅追求利己，還要關注同學的需求與感受。,vs-t/N,利己主義 / 利己的行為 / 利己與利他 / 利己的動機 / 利己的目的 / 利己的利益 / 利己的選擇 / 利己的方式 / 利己的思想 / 損人不利己,,,
禮教,5902,禮儀教化。[例]如果人人能遵循禮教，那麼社會必然祥和安樂。,Ritual education; The process of teaching and promoting proper etiquette and moral values in society.,禮儀教化，是指通過禮儀來教育人們，讓人們懂得如何行動和對待他人，從而建立良好的社會秩序。,在家庭中尊重長輩的意見，體現了為人子女應遵循的禮教。 / 學校舉辦的課程讓學生了解到禮教對於人際關係的重要性。 / 如果每個人都能夠遵循禮教，社會將變得更加和諧。 / 禮教鼓勵人們互相尊重，建立良好的社會風氣。 / 在節慶期間，大家會一起參加傳統的儀式來體現禮教的精神。 / 禮教文化深深影響了我們的日常生活，讓我們懂得如何待人接物。 / 社區定期舉辦講座，讓居民重新認識到禮教在現代生活中的價值。 / 無論在工作或學校，遵循禮教都能幫助我們建立更加友好的環境。 / 老師常常強調禮教的重要性，希望學生能夠在生活中實踐。 / 禮教不僅僅是傳統的規範，更是維護社會秩序的一種力量。 / 在國際交往中，了解和尊重對方的禮教有助於促進文化的交流與理解。,n,禮教文化 / 禮教的意義 / 尊重禮教 / 遵循禮教 / 禮教風俗 / 禮教精神 / 禮教的傳承 / 禮教教育 / 禮教的核心 / 禮教的影響,,,
歷盡,5903,經歷遍盡。[例]這本小說敘述的是一位老人歷盡滄桑，見證世態炎涼的悲慘故事。,To undergo or experience a myriad of trials and challenges.,經歷了許多困難和波折。,這位老人在戰爭中歷盡艱辛，最終回到故鄉。 / 她歷盡風雨，終於在事業上取得了成功，讓人十分佩服。 / 在這本回憶錄中，作者分享了自己歷盡波折的求學之路，讓讀者感到鼓舞。 / 這位歷盡沧桑的旅行者，講述了他在世界各地的冒險故事，讓人驚嘆不已。 / 他們的友誼雖然歷盡考驗，但依然堅固如初，讓人羨慕。 / 這首歌的歌詞描寫了一位母親歷盡辛酸，仍然堅守家庭的感人故事。 / 在這部電影中，主角歷盡種種困難，最終找到自己的人生方向，感動了無數觀眾。 / 即使歷盡艱辛，她依然保持樂觀，這種堅持讓周圍的人深受鼓舞。 / 這位作家用筆觸描繪了自己歷盡磨難的心路歷程，讓人感受到生命的力量。 / 他的演講中提到，歷盡風霜的經驗使他更加懂得珍惜當下。 / 在歷史的長河中，這個城市雖然歷盡變遷，但其文化底蘊依然深厚。,vp-i,歷盡艱辛 / 歷盡苦難 / 歷盡磨難 / 歷盡風雨 / 歷盡波折 / 歷盡變遷 / 歷盡辛酸 / 歷盡人生 / 歷盡世事 / 歷盡荣华,,,
歷久不衰,5904,經歷長久的時間仍不衰退。[例]這間餐廳以販賣新鮮海產聞名，開業三十年仍天天高朋滿座，歷久不衰。,Enduring and not declining over time; lasting and popular despite the passage of years.,經歷長久的時間，仍然保持良好的狀態，不衰退。,這個故事在每一代人中傳頌，展現了歷久不衰的魅力。 / 這部經典電影雖然上映多年，卻依然受到新一代觀眾的喜愛，證明了其歷久不衰的價值。 / 老字號的糕點店，每年都吸引大量顧客，不愧是歷久不衰的品牌。 / 這首老歌經歷了幾十年，仍然在聚會上被人們唱起，顯示出其歷久不衰的魅力。 / 這種手工藝品反映出人類的智慧和美學，至今仍然有許多人熱愛收藏，展現了歷久不衰的價值。 / 這位藝術家的作品，無論時代如何變遷，依然受到各界人士的推崇，展現了歷久不衰的藝術魅力。 / 這個傳統節日儘管面臨現代化的挑戰，卻依然吸引眾多人參與，體現了歷久不衰的文化意義。 / 這部小說雖然出版已久，卻依然經常被重新翻拍，證明了其歷久不衰的故事情節。 / 這種古老的建築風格，即使在現代也常被模仿，顯示出歷久不衰的 architectural aesthetics. / 這家音樂學校培養了無數優秀的音樂家，才華橫溢的教學讓它成為歷久不衰的學府。 / 這套運動器材雖然上市多年，仍然受健身愛好者的青睞，顯示出歷久不衰的實用性。,idiom,歷久不衰的品牌 / 歷久不衰的文化 / 歷久不衰的藝術 / 歷久不衰的產品 / 歷久不衰的傳統 / 歷久不衰的故事 / 歷久不衰的風格 / 歷久不衰的精神 / 歷久不衰的魅力 / 歷久不衰的價值,,,
歷來,5905,向來、一直，表示從以前到現在。[例]山海關地勢險要，歷來都是兵家必爭之地。,Throughout history; indicating that something has been consistent or unchanged from the past to the present.,向來、一直，表示從以前到現在。,這個村莊歷來以出產優質茶葉聞名。 / 在這個城市，歷來有許多文化交流活動，促進了不同民族之間的理解。 / 這條河流歷來是漁民捕魚的重要場所。 / 歷來的氣候變化對農作物的產量產生了深遠的影響。 / 這種藝術形式歷來吸引了許多觀眾，成為文化傳承的重要部分。 / 歷來的經驗告訴我們，團結一致是克服困難的關鍵。 / 這所學校歷來培養了無數優秀的人才，為社會各界做出了重大貢獻。 / 在這個行業，歷來的技術創新驅動著市場的不斷變化。 / 這種傳統節慶歷來是當地居民表達團結與親情的時刻。 / 歷來的研究顯示，早睡早起對於健康有著顯著的好處。 / 歷來的趨勢表明，越來越多的人選擇遠程工作以提升生活質量。,adv,歷來的經驗 / 歷來的問題 / 歷來的機會 / 歷來的表現 / 歷來的成就 / 歷來的規定 / 歷來的情況 / 歷來的事實 / 歷來的挑戰 / 歷來的趨勢,,,
歷歷在目,5906,清楚明白的呈現在眼前。[例]他望著發黃的相片，往事歷歷在目，彷彿又回到舊日的時光。,Clear and vivid in memory; describing something that is easily recalled or distinctly visible.,清楚明白的事情在眼前呈現。,當我站在那棟舊樓前，兒時的玩耍片段歷歷在目。 / 他翻開舊書，裡面的字跡讓他想起了年輕時的故事，感受歷歷在目。 / 在海邊散步時，浪花拍打的聲音讓她的記憶歷歷在目，彷彿回到國小的夏天。 / 兄弟聚會時，大家分享的趣事讓那段青澀的時光歷歷在目，笑聲不絕於耳。 / 每當看到那張老照片，媽媽的叮嚀和笑容就歷歷在目，心中不禁暖暖的。 / 在獨自旅行時，路邊的風景歷歷在目，讓他想起了與朋友們的冒險時光。 / 當她聽到那首熟悉的歌曲，心中瞬間湧現出過去的回憶，仿佛那些瞬間歷歷在目。 / 夜晚看星星時，曾經的夢想和憧憬歷歷在目，讓他不禁思索未來的方向。 / 在書香氤氳的圖書館裡，往日求學的時光歷歷在目，感謝那段求知的旅程。 / 與老友重聚時，曾經一起奮鬥的日子歷歷在目，大家相視而笑，情誼依然如故。 / 當站在畢業典禮的舞台上，四年的青春歲月歷歷在目，心中充滿了感慨與期待。,idiom,往事歷歷在目 / 記憶歷歷在目 / 回憶歷歷在目 / 片段歷歷在目 / 當年歷歷在目 / 風景歷歷在目 / 事件歷歷在目 / 心情歷歷在目 / 眼前歷歷在目 / 時光歷歷在目,,,
蒞臨,5907,親自到臨。[例]這次的教學觀摩，感謝各位來賓蒞臨指導。,To arrive or visit in person.,親自到達某個地方，通常是對某種活動或場合表示重視。,這次的企業年會，感謝董事長親自蒞臨致詞，為大家加油打氣。 / 各位專家學者蒞臨此次論壇，分享了他們對產業的看法。 / 感謝校友們蒞臨本次校慶，讓我們重溫了美好時光。 / 社區聯合活動中，市長蒞臨致詞，表達對居民的關心。 / 昨天的文化交流會，邀請到多位藝術家蒞臨觀摩並交流創作心得。 / 國際會議上，許多知名學者蒞臨分享他們的研究成果。 / 在這次的音樂會中，感謝指揮蒞臨帶來精彩的表演。 / 謝謝各位志工蒞臨今天的清潔活動，讓我們的環境更加美好。 / 本年度的科技博覽會，吸引了許多業界領袖蒞臨參觀考察。 / 感謝親愛的家長們蒞臨我們的畢業典禮，見證孩子們的重要時刻。 / 在這次的運動賽事中，校長蒞臨觀賽，為運動員們加油打氣。,vp-i,蒞臨指導 / 蒞臨祝賀 / 蒞臨現場 / 蒞臨會議 / 蒞臨視察 / 蒞臨嘉賓 / 蒞臨致詞 / 蒞臨參加 / 蒞臨活動 / 蒞臨慶典,,,
立論,5908,對問題提出議論、看法。[例]作為一個評論家，立論應該力求公正客觀。,To propose a viewpoint or argument regarding an issue.,針對某個問題提出自己的看法和議論。,他在論文中提出的立論相當有說服力，讓讀者深思。 / 在討論會上，專家們針對氣候變遷的立論展開了熱烈的辯論。 / 我的朋友常常對社會議題提出立論，讓我對這些問題有更深的理解。 / 立論不是隨便講講，而是需要有充分的證據和理據支持。 / 這位學者的立論在學術界引起了廣泛的關注和討論。 / 立論的過程需要仔細分析資料，以便提出明確的觀點。 / 他在演講中清晰地闡述了自己的立論，讓聽眾都能夠理解。 / 每當他參加辯論比賽，總是能夠提出獨特的立論，驚艷評審。 / 這本書的作者在各章節中都提出了精闢的立論，引導讀者思考人生的意義。 / 在這次會議上，與會者針對經濟政策的立論進行了深入的分析和討論。 / 無論是個人還是團體，立論的有效性都取決於所提供的證據和邏輯。,n,立論的方式 / 立論的基礎 / 提出立論 / 確立立論 / 有力的立論 / 公正的立論 / 明確的立論 / 針對立論 / 客觀的立論 / 立論的過程,,,
釐清,5909,整理劃清。[例]釐清字義、釐清頭緒、釐清界限,To clarify and organize by establishing clear distinctions and definitions.,整理并劃分清楚事物，使之明確。,在會議上，大家花了一些時間釐清項目的具體目標和預期成果。 / 在討論中，我們必須釐清彼此的觀點，以免產生誤解。 / 釐清合同的條款對於雙方合作非常重要，避免未來產生爭議。 / 下一步，我們需要釐清問題的根源，這樣才能找到合適的解決方案。 / 釐清各部門的職責有助於提高工作效率和減少交叉作業。 / 在課堂上，老師幫助學生釐清歷史事件的因果關係，讓他們更容易理解整個過程。 / 在進行市場調查時，釐清目標客戶的需求對於制定有效的營銷策略至關重要。 / 他們在討論中努力釐清研究的範疇，以確保每個人對項目的理解都一致。 / 釐清這些概念有助於學生在考試中獲得更好的表現。 / 在項目結束時，團隊成員需要釐清各自的貢獻，以便於撰寫最終報告。 / 為了確保活動的成功，我們需要釐清每個環節的具體安排和負責人。,va-t,釐清問題 / 釐清責任 / 釐清真相 / 釐清關係 / 釐清想法 / 釐清需求 / 釐清定義 / 釐清流程 / 釐清目標 / 釐清概念,,,
