number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
541.0,開導指引。[例]因為朋友的導引，他漸漸對攝影發生興趣。,導引,To guide and instruct; to lead someone towards understanding or insight.,開導和指引他人，使其逐漸明白或對某事產生興趣。,導引學生在自學上遇到困難時，及時提供支持和指導是非常重要的。 / 在每次的讀書會中，老師都會導引學生成為更加獨立的思考者。 / 他希望能成為一名導引專家，幫助人們找到職業生涯的方向。 / 導引小組討論時，充分聆聽每個成員的意見是建立良好氛圍的關鍵。 / 在社區活動中，志願者的導引使得更多人了解環保的重要性。,va-t,導引方法 / 導引理念 / 導引服務 / 導引系統 / 導引教師
542.0,四周被水圍繞的小面積陸地。[例]時至今日，地球上仍有許多尚未開發的無人島嶼。,島嶼,A small area of land surrounded by water.,四周被水圍繞的小面積陸地。,在夏天，我喜歡到小島嶼上度假，享受陽光和海風。 / 世界上有許多島嶼，各自擁有獨特的風景和文化。 / 這些島嶼之間的交通非常便利，讓旅行變得輕鬆愉快。 / 島嶼上的居民過著與世隔絕的生活，保留了傳統的習俗。 / 我計劃和朋友一起去南太平洋的島嶼探險，體驗當地的生態環境。 / 島嶼生態系統的脆弱性引起了科學家的高度關注，因為許多物種面臨滅絕的危險。 / 這個熱帶島嶼以其清澈的海水和白色沙灘，吸引了無數的遊客前來觀光。 / 許多國家的島嶼都擁有豐富的海洋資源，是重要的經濟依賴。 / 隨著氣候變化的影響，許多低窪的島嶼面臨著被海水淹沒的危機。 / 我聽說在這個遙遠的島嶼上，還存在著許多未被發現的神秘生物。 / 一個島嶼的歷史往往與海洋有著密不可分的聯繫，記錄了無數的航海故事。,n,一個島嶼 / 美麗的島嶼 / 島嶼旅行 / 島嶼居民 / 熱帶島嶼 / 島嶼探險 / 文化島嶼 / 無人島嶼 / 島嶼生態 / 島嶼環境
543.0,促成、引起。[例]他們夫妻倆因長期溝通不良而導致分手。,導致,"To lead to, bring about, or cause something to happen.",促成或引起某種結果或情況。,長期缺乏運動導致他的健康狀況惡化。 / 環境污染導致許多野生動物面臨滅絕的危險。 / 他專注於工作，導致忽視了與家人的關係。 / 自然災害導致了當地經濟的重大損失。 / 學生們的心理壓力過大，導致學習效率下降。 / 這次的交通事故導致了嚴重的交通壅塞。 / 不良的飲食習慣導致她體重增加，健康受到影響。 / 過度依賴科技產品導致了人際關係的疏遠。 / 計畫的變動導致團隊成員之間的溝通更加困難。 / 他的失誤導致整個專案的延遲，讓大家非常失望。 / 導致焦慮的原因有很多，包括工作壓力和人際關係的挑戰。,vp-t,導致問題 / 導致影響 / 導致傷害 / 導致失敗 / 導致焦慮 / 導致疾病 / 導致誤解 / 導致混亂 / 導致危險 / 導致損失
544.0,得到助力。[例]他之所以有今日偉大的成就，完全得力於家人對他的支持。,得力,To receive help or support.,得到幫助和支持，並因此獲得成就。,這次比賽得力於教練的指導，讓我們的表現更加出色。 / 他之所以能順利完成任務，得力於團隊成員的密切合作。 / 我在學習新技術時，得力於網路上的大量資源，讓我快速進步。 / 他的成功得力於堅持不懈的努力和不斷的自我提升。 / 在這次項目中，得力於同事們的專業建議，我獲得了許多寶貴的見解。 / 我得力於朋友的支持，使我在困難的時刻不再感到孤單。 / 這篇論文的完成得力於導師的悉心指導，讓我更清晰地表達我的觀點。 / 她的藝術創作之所以受到矚目，得力於其深入的生活體驗和觀察。 / 在學校的各種活動中，得力於志願者們的熱情參與，我們的活動更加成功。 / 他的職業生涯得力於早期良好的培訓和豐富的實習經驗。 / 我能在危機中冷靜應對，得力於過往的豐富經歷和成熟的心態。,vp-t,得力於朋友 / 得力於家人 / 得力於同事 / 得力於支持 / 得力於團隊 / 得力的專業能力 / 得力的幫助 / 得力於經驗 / 得力的智慧 / 得力於合作
544.0,很能幹的、受重用的。[例]得力助手、得力幹部,得力,Capable and effective; [used to describe someone who is very competent and trusted in their role].,形容人非常能幹，受到重用。,他是公司的得力助手，常常協助主管處理繁雜的業務。 / 在這次專案中，她的得力分析讓團隊少走了許多冤枉路。 / 王經理在選擇團隊成員時特別看重他們是否為得力的幹部。 / 這本書的作者雖然名氣不大，但他的觀點卻非常得力，讓讀者有所啟發。 / 他的得力建議使我們的計畫更加完善，最終成功落實。 / 在這次業務拓展中，李總的得力支持使得整個團隊士氣大增。 / 在面對困難挑戰時，他的得力經驗總能給我們帶來希望與方向。 / 這位導師的得力指導，幫助學生們在考試中取得了優異的成績。 / 公司的得力員工們通過團隊合作，迅速解決了客戶的問題。 / 在開展新市場的過程中，張經理的得力策略為公司贏得了寶貴的機會。 / 這次研討會上，專家的得力分析讓與會者對行業趨勢有了更深刻的認識。,vs-adj,得力助手 / 得力幹部 / 得力的支持 / 得力的團隊 / 得力的員工 / 得力的專家 / 得力的合作夥伴 / 得力的表現 / 得力的經驗 / 得力的計畫
545.0,利弊，好處與壞處。[例]利弊得失,得失,A situation that involves advantages and disadvantages; refers to the evaluation of benefits and losses.,利與弊，指取得的好處和遭遇的壞處。,在做任何重要決定之前，我們都應該考慮一下得失。 / 學習一門新語言的過程中，雖然會遇到困難，但其實最終的得失是非常值得的。 / 經過一番仔細分析，他終於明白這筆投資的得失會影響他的財務未來。 / 在考慮搬家之前，她仔細列出了新舊居住地的得失優劣比較。 / 如果不清楚合作的得失，我們就不應該輕易簽約。 / 在得失評估過程中，我們必須仔細分析每個選擇所帶來的風險和機會。 / 這次比賽的得失將直接影響選手們未來的訓練安排和心理狀態。 / 每當他回顧過去的選擇時，心中總是充滿了對得失的深刻思考。 / 在職場上，經常進行得失分析有助於提升工作效率和決策品質。 / 她在制定長期計畫前，特別強調要全面評估得失，以免造成不必要的資源浪費。 / 得失的衡量不僅關係到個人的成就，也影響到整個團隊的士氣和合作精神。,n,得失分析 / 得失評估 / 得失平衡 / 得失比較 / 得失影響 / 得失後果 / 得失考量 / 得失關係 / 得失情況 / 得失表現
546.0,言行舉止，恰如其分。[例]不論在任何場合，她的表現都十分得體。,得體,"Appropriate; showing politeness, respect, and suitability in one's speech and behavior.",言行舉止恰當，符合場合和情境。,在正式的場合，穿著得體可以給人留下良好的第一印象。 / 在面試時，他不僅言談得體，還展現出自信和專業。 / 婚禮上，賓客們都穿著得體，以表達對新人的祝福。 / 他的演講雖然內容精彩，但在語氣和用詞上還需要更加得體。 / 對於不同的社交場合，選擇得體的話題能夠讓交流更加順利。 / 在職場上，行為得體能讓同事之間的關係更加和諧。 / 在參加晚宴時，選擇得體的餐桌禮儀非常重要。 / 在學校的見面會上，學生們的表現得體，讓老師們感到欣慰。 / 旅行時，遵守當地的風俗習慣和穿著得體能夠更好地融入環境。 / 他的社交技巧不錯，但有時候在選擇話題上還需要更加得體。 / 無論在工作還是生活中，得體的舉止能夠提升個人的魅力。,vs-adj,服裝得體 / 行為得體 / 舉止得體 / 表現得體 / 言談得體 / 反應得體 / 情境得體 / 方式得體 / 整理得體 / 風度得體
547.0,可以。漢．鼂錯〈論貴粟疏〉：「今募天下入粟縣官，得以拜爵，得以除罪。」《文明小史》第二四回：「他幸而聲名不大，外國人不拿他放在心上，得以安然無事。」,得以,To be able to; to have the opportunity to.,可以的意思，表示某人或某事有能力或條件做某件事情。,經過努力訓練，這位運動員得以打破世界紀錄。 / 他們在比賽中互相合作，得以取得優異的成績。 / 由於政府的支持，這項科研計畫得以順利進行。 / 透過環保措施，這個城市得以改善空氣品質。 / 因為社區的共同努力，這個文化活動得以成功舉辦。 / 得以實現夢想，努力學習是必要的。 / 在專業指導下，學生們得以快速掌握新技能。 / 透過持續的投資，這家公司得以擴大國際市場。 / 由於科技的發展，許多傳統產業得以轉型升級。 / 在志願者的幫助下，這項慈善活動得以惠及更多弱勢群體。 / 得以提升能力，參加培訓是非常重要的。,vp-i,得以實現夢想 / 得以獲得成功 / 得以提升能力 / 得以享受生活 / 得以掌握技巧 / 得以改變局面 / 得以避開危險 / 得以保持健康 / 得以完成任務 / 得以促進合作
548.0,贏得獎項的人。如：「經過激烈的競爭，今年區運百公尺徑賽的金牌得主產生了。」,得主,A winner; a person who has won a prize or award.,贏得獎項的人。,這次音樂比賽的得主是位年輕的鋼琴家。 / 在科學展覽中，得主的研究項目引起了許多專家的關注。 / 他們頒發的獎學金，得主必須在校成績保持前五名。 / 這項小說獎的得主今天會在記者會上分享他的創作心得。 / 獲得文學獎的得主，常常會受到出版社的邀約出版新書。 / 今年的得主是一位來自國際知名大學的學者。 / 籃球賽的得主宣布時，全場觀眾都為他們的精彩表現感到驚喜。 / 在藝術競賽中，得主的作品被評委讚譽為創新與美感兼具。 / 這個國際影展的得主，將獲得一筆可觀的創作資助金。 / 每年頒發的環保獎，得主都是那些在社區中做出重大貢獻的人。 / 繪畫比賽的得主，將有機會在畫廊舉辦自己的個展。 / 今年的得主在比賽中展示了驚人的創意與技術，使評審們印象深刻。,n,今年的得主 / 獎項的得主 / 獲獎的得主 / 獨特的得主 / 各組別的得主 / 金牌得主 / 最佳演員的得主 / 青少年組的得主 / 賽事的得主 / 獲得榮譽的得主
549.0,向人對不起的客套話。[例]這小孩不懂事，得罪之處，請多包涵。,得罪,To offend or disrespect someone.,冒犯他人，造成對不起的情況。,在聚會上，他不小心得罪了主人，讓氣氛變得尷尬。 / 我知道我說的話可能得罪了她，希望能夠得到她的原諒。 / 如果你不知道別人的禁忌，可能會不小心得罪人，造成不必要的麻煩。 / 在工作中，無論如何都要注意自己的言行，以免得罪同事。 / 有時候，直言不諱雖然好，但也可能不小心得罪了人。 / 如果不小心得罪了朋友，最好主動道歉以修復關係。 / 她的評論雖然出自好意，但卻不小心得罪了在場的許多人。 / 在社交場合，了解文化差異是很重要的，以免得罪不同背景的人。 / 他很擔心自己的決定會得罪到老闆，因此一直猶豫不決。 / 有時候，誤解會讓人感到被得罪，溝通是解決問題的關鍵。 / 在歷史課上，他提到了一些敏感話題，結果得罪了不少同學。,va-t,得罪的理由 / 得罪的對象 / 得罪的地方 / 得罪朋友 / 得罪長輩 / 得罪他人 / 不小心得罪 / 說錯得罪 / 得罪的原因 / 得罪而道歉
